,,"001,017,101",,"<-- 복사해서 H열에 값으로 붙여넣기
"
구분,코드,카테고리명,Check,
2뎁스,109002,아우터,FALSE,
2뎁스,109003,바지,FALSE,
2뎁스,109004,원피스/스커트,FALSE,
2뎁스,109005,키즈,FALSE,
2뎁스,109006,스포츠/레저,FALSE,
2뎁스,111001,굿즈,FALSE,
2뎁스,111002,앨범,FALSE,
2뎁스,111003,의류/잡화,FALSE,
2뎁스,112001,KBO,FALSE,
2뎁스,112002,MLB,FALSE,
2뎁스,112003,K리그,FALSE,
2뎁스,112004,해외축구,FALSE,
2뎁스,112005,KBL,FALSE,
2뎁스,112006,NBA,FALSE,
2뎁스,112007,V-리그,FALSE,
2뎁스,112008,e스포츠,FALSE,
2뎁스,112009,F1,FALSE,
2뎁스,112010,협회,FALSE,
2뎁스,113001,픽사,FALSE,
2뎁스,113002,디즈니,FALSE,
2뎁스,113003,DC,FALSE,
2뎁스,113004,마블,FALSE,
2뎁스,113005,산리오캐릭터즈,FALSE,
2뎁스,113006,워너브라더스,FALSE,
2뎁스,113007,카툰네트워크,FALSE,
2뎁스,113008,니켈로디언,FALSE,
2뎁스,113009,피너츠,FALSE,
2뎁스,113010,글로벌/클래식 캐릭터,FALSE,
2뎁스,113011,웹툰/작가,FALSE,
2뎁스,113012,게임,FALSE,
2뎁스,113013,카카오프렌즈,FALSE,
2뎁스,113014,라인프렌즈,FALSE,
2뎁스,114001,한국 만화/애니메이션,FALSE,
2뎁스,114002,일본 만화/애니메이션,FALSE,
2뎁스,114003,글로벌 만화/애니메이션,FALSE,
2뎁스,115001,자동차,FALSE,
2뎁스,116001,음료,FALSE,
