send_dt,send_time,target,priority,ad_code,content_type,goods_id,category_id,brand_id,team_id,braze_campaign_name,title,contents,landing_url,image_url,push_url,feed_url,webhook_contents,stopped
2025-12-25,11:00,전체,1,APSCMCD421,이벤트,,,"chanel,moncler,dyson,musinsa",,251225_11시_APSCMCD421_정기_GMV_무신사 AI 포토부스_전체_이벤트,무신사 AI 포토부스,"(광고) 지금 바로 루돌프와 네 컷 사진 찍기 등 나만의 AI 이미지를 만들어보세요.
수신거부 : 메인 상단 알림 > 설정 > 알림 OFF",https://www.musinsa.com/onboarding/event/ai-campaigns/1,,https://www.musinsa.com/onboarding/event/ai-campaigns/1?utm_source=app_push&utm_medium=cr&utm_content=mf&utm_campaign=APSCMCD421&source=APSCMCD421,https://www.musinsa.com/onboarding/event/ai-campaigns/1?source=FEDCMCD421,(광고) 지금 바로 루돌프와 네 컷 사진 찍기 등 나만의 AI 이미지를 만들어보세요.\n수신거부 : 메인 상단 알림 > 설정 > 알림 OFF,
2025-12-26,11:00,남성,1,APSCMCD422,콘텐츠,,,dimitriblack,,251226_11시_APSCMCD422_정기_GMV_디미트리블랙 브랜드위크_남성_콘텐츠,디미트리블랙 브랜드위크,"(광고) 최대 20% 쿠폰으로 만나보세요.
수신거부 : 메인 상단 알림 > 설정 > 알림 OFF",https://www.musinsa.com/content/1446378022085745113,https://image.msscdn.net/cms/v2/content/cms_2220594b-9dc1-4.jpg,https://www.musinsa.com/content/1446378022085745113?utm_source=app_push&utm_medium=cr&utm_content=mf&utm_campaign=APSCMCD422&source=APSCMCD422,https://www.musinsa.com/content/1446378022085745113?source=FEDCMCD422,(광고) 최대 20% 쿠폰으로 만나보세요.\n수신거부 : 메인 상단 알림 > 설정 > 알림 OFF,
2025-12-26,11:00,여성,1,APSCMCD423,콘텐츠,,,athevanessabruno1,,251226_11시_APSCMCD423_정기_GMV_아떼 바네사브루노 × 헬로키티_여성_콘텐츠,아떼 바네사브루노 × 헬로키티,"(광고) 프렌치 시크 무드로 다시 만나는 헬로키티 무신사 단독 발매
수신거부 : 메인 상단 알림 > 설정 > 알림 OFF",https://www.musinsa.com/content/1450362172366221420,https://image.msscdn.net/cms/v2/content/file_1765863949659_272929200_nxn719.jpg,https://www.musinsa.com/content/1450362172366221420?utm_source=app_push&utm_medium=cr&utm_content=mf&utm_campaign=APSCMCD423&source=APSCMCD423,https://www.musinsa.com/content/1450362172366221420?source=FEDCMCD423,(광고) 프렌치 시크 무드로 다시 만나는 헬로키티 무신사 단독 발매\n수신거부 : 메인 상단 알림 > 설정 > 알림 OFF,
2025-12-27,11:00,전체,1,APSCMCD424,콘텐츠,,,vtcosmetics,,251227_11시_APSCMCD424_정기_GMV_브이티코스메틱 × 올데이프로젝트_전체_콘텐츠,브이티코스메틱 × 올데이프로젝트,"(광고) 브이티코스메틱 리들샷 엔딩 할인전
수신거부 : 메인 상단 알림 > 설정 > 알림 OFF",https://www.musinsa.com/content/1440246353710034430,https://image.msscdn.net/cms/v2/content/file_1764657704726_3138277799_c8rivv.jpg,https://www.musinsa.com/content/1440246353710034430?utm_source=app_push&utm_medium=cr&utm_content=mf&utm_campaign=APSCMCD424&source=APSCMCD424,https://www.musinsa.com/content/1440246353710034430?source=FEDCMCD424,(광고) 브이티코스메틱 리들샷 엔딩 할인전\n수신거부 : 메인 상단 알림 > 설정 > 알림 OFF,
2025-12-28,11:00,남성,1,APSCMCD425,콘텐츠,,,aecawhite,,251228_11시_APSCMCD425_정기_GMV_국카스텐 × 에이카화이트_남성_콘텐츠,국카스텐 × 에이카화이트,"(광고) 에이카화이트, 국카스텐 정규 3집 <AURUM> 3차 협업 컬렉션
수신거부 : 메인 상단 알림 > 설정 > 알림 OFF",https://www.musinsa.com/content/1452847887786044252,https://image.msscdn.net/cms/v2/content/file_1766456643960_1213378800_sbqqvk.jpg,https://www.musinsa.com/content/1452847887786044252?utm_source=app_push&utm_medium=cr&utm_content=mf&utm_campaign=APSCMCD425&source=APSCMCD425,https://www.musinsa.com/content/1452847887786044252?source=FEDCMCD425,"(광고) 에이카화이트, 국카스텐 정규 3집 <AURUM> 3차 협업 컬렉션\n수신거부 : 메인 상단 알림 > 설정 > 알림 OFF",
2025-12-28,11:00,여성,1,APSCMCD426,콘텐츠,,,ihcnik,,251228_11시_APSCMCD426_정기_GMV_이크닉 × 오도어_여성_콘텐츠,이크닉 × 오도어,"(광고) 무신사 에디션 발매 
수신거부 : 메인 상단 알림 > 설정 > 알림 OFF",https://www.musinsa.com/content/1447832913761340685,https://image.msscdn.net/cms/v2/content/file_1765527392611_13702299_qpesfk.jpg,https://www.musinsa.com/content/1447832913761340685?utm_source=app_push&utm_medium=cr&utm_content=mf&utm_campaign=APSCMCD426&source=APSCMCD426,https://www.musinsa.com/content/1447832913761340685?source=FEDCMCD426,(광고) 무신사 에디션 발매 \n수신거부 : 메인 상단 알림 > 설정 > 알림 OFF,
2025-12-28,11:00,여성,2,APSCMCD427,콘텐츠,,,oddtype,,251228_11시_APSCMCD427_정기_GMV_오드타입 벌룬틴트 홀리데이 에디션_여성_콘텐츠,오드타입 벌룬틴트 홀리데이 에디션,"(광고) 최대 30% 할인 + 선착순 미니틴트 증정
홀리데이 무드의 벌룬 틴트
수신거부 : 메인 상단 알림 > 설정 > 알림 OFF",https://www.musinsa.com/content/1447798578679778288,https://image.msscdn.net/cms/v2/content/file_1766123999666_10541400_cgfyia.jpg,https://www.musinsa.com/content/1447798578679778288?utm_source=app_push&utm_medium=cr&utm_content=mf&utm_campaign=APSCMCD427&source=APSCMCD427,https://www.musinsa.com/content/1447798578679778288?source=FEDCMCD427,(광고) 최대 30% 할인 + 선착순 미니틴트 증정\n홀리데이 무드의 벌룬 틴트\n수신거부 : 메인 상단 알림 > 설정 > 알림 OFF,
2025-12-29,11:00,전체,1,APSCMCD428,콘텐츠,,,pumakids,,251229_11시_APSCMCD428_정기_GMV_푸마키즈 발렛 선론칭_전체_콘텐츠,푸마키즈 발렛 선론칭,"(광고) 귀엽다 연발하는 푸마 키즈 미니 스피드캣
수신거부 : 메인 상단 알림 > 설정 > 알림 OFF",https://www.musinsa.com/content/1447402545894812375,https://image.msscdn.net/cms/v2/content/file_1765158386407_356428100_h946l8.jpg,https://www.musinsa.com/content/1447402545894812375?utm_source=app_push&utm_medium=cr&utm_content=mf&utm_campaign=APSCMCD428&source=APSCMCD428,https://www.musinsa.com/content/1447402545894812375?source=FEDCMCD428,(광고) 귀엽다 연발하는 푸마 키즈 미니 스피드캣\n수신거부 : 메인 상단 알림 > 설정 > 알림 OFF,
2025-12-30,11:00,전체,1,APSCMCD429,캠페인,,,"blackyak,nationalgeographic,thenorthface,xexymix,snowpeakapparel,arcteryx.musinsastandardsp",,251230_11시_APSCMCD429_정기_GMV_2025 마지막 스포츠위크_전체_캠페인,2025 마지막 스포츠위크,"(광고) 최대 80% 할인 + 스포츠위크 한정 최대 20% 쿠폰 + 결제 혜택까지
수신거부 : 메인 상단 알림 > 설정 > 알림 OFF",https://www.musinsa.com/campaign/202512_player/0,https://image.msscdn.net/campaign_service/images/cpcms/2025/950a2731b6db41dabebb2904d96b1ef9.jpg,https://www.musinsa.com/campaign/202512_player/0?utm_source=app_push&utm_medium=cr&utm_content=mf&utm_campaign=APSCMCD429&source=APSCMCD429,https://www.musinsa.com/campaign/202512_player/0?source=FEDCMCD429,(광고) 최대 80% 할인 + 스포츠위크 한정 최대 20% 쿠폰 + 결제 혜택까지\n수신거부 : 메인 상단 알림 > 설정 > 알림 OFF,
2025-12-31,11:00,전체,1,APSCMCD430,캠페인,,,"musinsastandard,musinsastandardwoman",,251231_11시_APSCMCD430_정기_GMV_무신사 스탠다드 시즌 오프_전체_캠페인,무신사 스탠다드 시즌 오프,"(광고) 추가 할인되는 장바구니 쿠폰부터 하루 특가, 방한템 등
수신거부 : 메인 상단 알림 > 설정 > 알림 OFF",https://www.musinsa.com/campaign/msspfw25_seasonoff/0,https://image.msscdn.net/campaign_service/images/cpcms/2025/332c524fb1f94d9591cee77923f80c0e.jpg,https://www.musinsa.com/campaign/msspfw25_seasonoff/0?utm_source=app_push&utm_medium=cr&utm_content=mf&utm_campaign=APSCMCD430&source=APSCMCD430,https://www.musinsa.com/campaign/msspfw25_seasonoff/0?source=FEDCMCD430,"(광고) 추가 할인되는 장바구니 쿠폰부터 하루 특가, 방한템 등\n수신거부 : 메인 상단 알림 > 설정 > 알림 OFF",
2026-01-01,11:00,전체,1,APSCMCD431,캠페인,,,,"유니섹스패션,남성패션,여성패션,잡화",260101_11시_APSCMCD431_정기_GMV_2026년 무신사 멤버스데이_전체_캠페인,2026년 무신사 멤버스데이,"(광고) 최대 30% 쿠폰 + 최대 5만원 적립금 + 최대 1만원 결제혜택
수신거부 : 메인 상단 알림 > 설정 > 알림 OFF",https://www.musinsa.com/campaign/membersday_2601/0,https://image.msscdn.net/campaign_service/images/cpcms/2025/1702674ec5c3409680c66a0072c43f9d.jpg,https://www.musinsa.com/campaign/membersday_2601/0?utm_source=app_push&utm_medium=cr&utm_content=mf&utm_campaign=APSCMCD431&source=APSCMCD431,https://www.musinsa.com/campaign/membersday_2601/0?source=FEDCMCD431,(광고) 최대 30% 쿠폰 + 최대 5만원 적립금 + 최대 1만원 결제혜택\n수신거부 : 메인 상단 알림 > 설정 > 알림 OFF,
2026-01-02,11:00,전체,1,APSCMCD432,콘텐츠,,,"chanel,moncler,dyson,musinsa,samsung",,260102_11시_APSCMCD432_정기_GMV_무신사와 함께하는 삼성전자 세일 페스타_전체_콘텐츠,무신사와 함께하는 삼성전자 세일 페스타,"(광고) 무신사 회원만 참여 가능한 최대 무신사머니 100만원 당첨 놓치지 마세요.
수신거부 : 메인 상단 알림 > 설정 > 알림 OFF",https://www.musinsa.com/content/1448246141489866230,https://image.msscdn.net/cms/v2/content/file_1766467551695_40412300_hdybfh.jpg,https://www.musinsa.com/content/1448246141489866230?utm_source=app_push&utm_medium=cr&utm_content=mf&utm_campaign=APSCMCD432&source=APSCMCD432,https://www.musinsa.com/content/1448246141489866230?source=FEDCMCD432,(광고) 무신사 회원만 참여 가능한 최대 무신사머니 100만원 당첨 놓치지 마세요.\n수신거부 : 메인 상단 알림 > 설정 > 알림 OFF,
